sorting_type,size,comparison_count,swap_count
quicksort_type1,50,1225,49
quicksort_type1,1000,499500,999
quicksort_type1,2000,1999000,1999
quicksort_type1,5000,12497500,4999
quicksort_type1,10000,49995000,9999
quicksort_type2,50,49,0
quicksort_type2,1000,494550,899
quicksort_type2,2000,1994050,1899
quicksort_type2,5000,12492550,4899
quicksort_type2,10000,49990050,9899
quicksort_type3,50,49,0
quicksort_type3,1000,498275,949
quicksort_type3,2000,1997775,1949
quicksort_type3,5000,12496275,4949
quicksort_type3,10000,49993775,9949
quicksort_type4,50,237,202
quicksort_type4,1000,8977,6043
quicksort_type4,2000,19953,13087
quicksort_type4,5000,56809,37003
quicksort_type4,10000,123617,79007
merge_sort,50,161,300
merge_sort,1000,5052,10000
merge_sort,2000,11104,22000
merge_sort,5000,33356,65000
merge_sort,10000,71712,140000
