order,size,sorting_type,comparison_count,swap_count
ascending,50,quicksort_type1,1225,49
ascending,50,quicksort_type2,49,0
ascending,50,quicksort_type3,49,0
ascending,50,quicksort_type4,237,202
ascending,50,merge_sort,161,300
ascending,1000,quicksort_type1,499500,999
ascending,1000,quicksort_type2,494550,899
ascending,1000,quicksort_type3,498275,949
ascending,1000,quicksort_type4,8977,6043
ascending,1000,merge_sort,5052,10000
ascending,2000,quicksort_type1,1999000,1999
ascending,2000,quicksort_type2,1994050,1899
ascending,2000,quicksort_type3,1997775,1949
ascending,2000,quicksort_type4,19953,13087
ascending,2000,merge_sort,11104,22000
ascending,5000,quicksort_type1,12497500,4999
ascending,5000,quicksort_type2,12492550,4899
ascending,5000,quicksort_type3,12496275,4949
ascending,5000,quicksort_type4,56809,37003
ascending,5000,merge_sort,33356,65000
ascending,10000,quicksort_type1,49995000,9999
ascending,10000,quicksort_type2,49990050,9899
ascending,10000,quicksort_type3,49993775,9949
ascending,10000,quicksort_type4,123617,79007
ascending,10000,merge_sort,71712,140000
descending,50,quicksort_type1,1274,675
descending,50,quicksort_type2,49,0
descending,50,quicksort_type3,49,0
descending,50,quicksort_type4,237,202
descending,50,merge_sort,161,300
descending,1000,quicksort_type1,500499,251000
descending,1000,quicksort_type2,494550,899
descending,1000,quicksort_type3,498275,949
descending,1000,quicksort_type4,8977,6043
descending,1000,merge_sort,5052,10000
descending,2000,quicksort_type1,2000999,1002000
descending,2000,quicksort_type2,1994050,1899
descending,2000,quicksort_type3,1997775,1949
descending,2000,quicksort_type4,19953,13087
descending,2000,merge_sort,11104,22000
descending,5000,quicksort_type1,12502499,6255000
descending,5000,quicksort_type2,12492550,4899
descending,5000,quicksort_type3,12496275,4949
descending,5000,quicksort_type4,56809,37003
descending,5000,merge_sort,33356,65000
descending,10000,quicksort_type1,50004999,25010000
descending,10000,quicksort_type2,49990050,9899
descending,10000,quicksort_type3,49993775,9949
descending,10000,quicksort_type4,123617,79007
descending,10000,merge_sort,71712,140000
random,50,quicksort_type1,282,172
random,50,quicksort_type2,49,0
random,50,quicksort_type3,49,0
random,50,quicksort_type4,237,202
random,50,merge_sort,161,300
random,1000,quicksort_type1,11944,6326
random,1000,quicksort_type2,494550,899
random,1000,quicksort_type3,498275,949
random,1000,quicksort_type4,8977,6043
random,1000,merge_sort,5052,10000
random,2000,quicksort_type1,29838,14117
random,2000,quicksort_type2,1994050,1899
random,2000,quicksort_type3,1997775,1949
random,2000,quicksort_type4,19953,13087
random,2000,merge_sort,11104,22000
random,5000,quicksort_type1,76304,36665
random,5000,quicksort_type2,12492550,4899
random,5000,quicksort_type3,12496275,4949
random,5000,quicksort_type4,56809,37003
random,5000,merge_sort,33356,65000
random,10000,quicksort_type1,172198,88722
random,10000,quicksort_type2,49990050,9899
random,10000,quicksort_type3,49993775,9949
random,10000,quicksort_type4,123617,79007
random,10000,merge_sort,71712,140000
